x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0040358804	38.8775381073	7729590	2182678	False	P322	PARK OVERTIME IN TIMED ZONE	200 BLOCK L ST SE SOUTH SIDE	MD	4D	805725	4910.0	399650	134411	Parking_Violations_in_June_2014.csv	2014-06-13T10:28:00.000Z
-76.9937656932	38.8981311668	5819330	794423	False	P322	PARK OVERTIME IN TIMED ZONE	600 BLOCK 9TH ST NE EAST SIDE	VA	VA	807296	6256.0	400541	136697	Parking_Violations_in_November_2014.csv	2014-11-18T17:25:00.000Z
-77.0715648166	38.918486298	12243648	10741876	False	P050	PARKED WITHIN 25 FEET OF A STOP SIGN	3532 FRONT W PL NW SOUTH SIDE	MD	4D	224648	9430.0	393794	138959	Parking_Violations_in_March_2009.csv	2009-03-31T19:37:00.000Z
-77.0514204609	38.9033628812	3749570	6533123	False	P035	NOT PARKED IN A METER SPACE	1100 BLOCK 24TH ST NW WEST SIDE	NJ	VA	802900	2383.0	395540	137279	Parking_Violations_in_June_2011.csv	2011-06-13T10:03:00.000Z
-77.0005673504	38.9232195665	13271130	6292238	False	P173	NO PARKING STREET CLEANING	2500 BLOCK 4TH ST NE WEST SIDE	DC	4D	803283	2777.0	399951	139482	Parking_Violations_in_August_2011.csv	2011-08-18T10:03:00.000Z
-77.0136685452	38.8677632592	2720258	10114601	False	P168	NO FRONT TAGS.	1900 BLOCK 2ND ST SW WEST SIDE	VA	4D	812328	10590.0	398814	133326	Parking_Violations_in_November_2009.csv	2009-11-25T10:56:00.000Z
-77.0197359475	38.8905806519	6225327	12853579	False	P057	NO PARKING SPECIFIC HOURS	700 MADISON DR NW	MI	4D	810710	9177.0	398288	135859	Parking_Violations_in_November_2014.csv	2014-11-25T08:36:00.000Z
-77.0207342646	38.8750860519	8987298	724049	False	P039	PARK AT EXPIRED METER	600 BLOCK WATER ST SW SOUTH SIDE	MD	4D	800032	31.0	398201	134139	Parking_Violations_in_December_2014.csv	2014-12-18T18:35:00.000Z
-77.0280798515	38.9162887894	10700985	3066936	False	P012	DISOBEYING OFFICIAL SIGN	1900 BLOCK 12TH ST NW WEST SIDE	MA	UT	806016	5163.0	397565	138713	Parking_Violations_in_April_2013.csv	2013-04-19T17:11:00.000Z
-77.0586633819	38.90685471	8305355	8527966	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	2900 BLOCK N ST NW SOUTH SIDE	MD	4D	812562	10796.0	394912	137667	Parking_Violations_in_February_2010.csv	2010-02-27T17:08:00.000Z
-77.0461655432	38.9067432084	9651921	4530122	False	P055	NO PARKING ANYTIME	1300 BLOCK NEW HAMPSHIRE AV NW EAST	NC	TK	804762	4104.0	395996	137654	Parking_Violations_in_May_2012.csv	2012-05-10T11:13:00.000Z
-76.9592226666	38.8673425533	7824479	701314	False	P076		3200 BLOCK T ST SE SOUTH SIDE	MD	4D	806503	5589.0	403539	133280	Parking_Violations_in_December_2014.csv	2014-12-10T01:08:00.000Z
-76.9995182203	38.8820063387	9013023	4192621	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	0600 BLOCK 5TH ST SE NORTH SIDE	DC	UT	815314	13213.0	400042	134907	Parking_Violations_in_June_2012.csv	2012-06-27T17:04:00.000Z
-77.083544121	38.9564933796	12073191	2104536	False	P039	PARK AT EXPIRED METER	5200BLOCK WISCONSIN AVE NW EAST SID	NJ		800499	422.0	392759	143179	Parking_Violations_in_November_2013.csv	2013-11-27T20:14:00.000Z
-77.0384792772	38.9137274598	11194687	12268636	False	P055	NO PARKING ANYTIME	1800 BLOCK 17TH ST NW EAST SIDE	DC	2D	800054	48.0	396663	138429	Parking_Violations_in_April_2009.csv	2009-04-27T19:52:00.000Z
-77.0199112162	38.8990665056	2059099	6201929	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	0800 BLOCK 6TH ST NW EAST SIDE	DE	4D	813230	11371.0	398273	136801	Parking_Violations_in_August_2011.csv	2011-08-13T15:00:00.000Z
-77.0240337849	38.8857963971	7628047	2757935	False	P037	PARK OVERTIME AT A METER	200 BLOCK 9TH ST SW WEST SIDE	MD	UT	812452	10697.0	397915	135328	Parking_Violations_in_June_2013.csv	2013-06-03T11:07:00.000Z
-77.0132552371	38.8759429384	3478670	12873087	False	P344	VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT	1200 DELAWARE AV SW	VA	4D	72281	12204.0	398850	134234	Parking_Violations_in_April_2014.csv	2014-04-08T15:10:00.000Z
-77.0219156455	38.894345763	9343035	5751285	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	0400 BLOCK 7TH ST NW WEST SIDE	WV	4D	807958	6816.0	398099	136277	Parking_Violations_in_December_2011.csv	2011-12-09T18:32:00.000Z
-77.0619577882	38.9034298348	3007230	5970508	False	P039	PARK AT EXPIRED METER	3100 BLOCK SOUTH ST NW SOUTH SIDE	MD	VA	807099	6083.0	394626	137287	Parking_Violations_in_October_2011.csv	2011-10-17T19:31:00.000Z
-77.0322669196	38.9193325242	1973460	8797631	False	P039	PARK AT EXPIRED METER	2200 14TH ST NW BLOCK WEST SIDE	VA		311698	8609.0	397202	139051	Parking_Violations_in_November_2014.csv	2014-11-24T20:06:00.000Z
-77.0295060525	38.9354040889	5320318	4780692	False	P173	NO PARKING STREET CLEANING	3635 FRONT 13TH ST NW EAST SIDE	DC	4D	230369	1562.0	397442	140835	Parking_Violations_in_April_2012.csv	2012-04-09T11:14:00.000Z
-77.062776575	38.9037086568	8299328	7714270	False	P039	PARK AT EXPIRED METER	1100 BLOCK WISCONSIN AV NW EAST SID	DC	4D	809760	8336.0	394555	137318	Parking_Violations_in_October_2010.csv	2010-10-12T10:43:00.000Z
-77.0393846043	38.9245101289	10964621	9928605	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	1700 COLUMBIA RD NW BLOCK SOUTH SID	DC		284066	800.0	396585	139626	Parking_Violations_in_June_2011.csv	2011-06-24T17:38:00.000Z
-77.0281285409	38.8935607038	6501106	7461171	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	300 BLOCK 12TH ST NW WEST SIDE	MD	UT	814423	12430.0	397560	136190	Parking_Violations_in_October_2010.csv	2010-10-22T16:19:00.000Z
-77.0022400928	38.9426144284	7596452	13137024	False	P344	VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT	490 TAYLOR ST NE	MD	4D	288294	2653.0	399806	141635	Parking_Violations_in_February_2014.csv	2014-02-08T03:15:00.000Z
